# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=7
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 5a_halfnormal_uni - draws_7.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.208613
# Diagonal elements of inverse mass matrix:
# 0.0381917, 0.540477, 0.0448642, 1.35584, 0.223656, 0.767044, 0.959934, 1.27236, 1.36069, 1.19477, 0.301974, 1.43947, 1.0543, 0.826095, 0.940771, 1.28825, 0.622101, 1.25967, 1.47637, 1.26412, 0.99207, 0.0988593, 0.346885, 0.959871, 0.178393, 0.828663, 0.549329, 1.15468, 1.13864
-59.8336,0.96616,0.208613,4,15,0,71.6357,0.249983,0.287436,0.819506,0.0222932,0.228919,0.168373,0.100561,0.06273,0.251393,0.110963,0.343983,0.171316,0.192866,0.000841215,0.102467,0.0203561,0.330866,0.0704478,0.0341853,0.00659717,0.164988,0.683902,0.0387154,0.274707,0.339706,0.136546,0.0898101,0.191239,0.166761,0.199458
-58.5439,0.977073,0.208613,4,15,0,69.857,0.230978,0.160412,0.816495,0.0253457,0.146841,0.318916,0.154114,0.0749162,0.168115,0.140968,0.285656,0.111562,0.160941,0.00172778,0.0875364,0.080221,0.451039,0.231556,0.0034872,0.00687132,0.173448,0.557793,0.0637637,0.132467,0.282482,0.199755,0.149694,0.416917,0.307952,0.184294
-67.9328,0.698567,0.208613,4,15,0,80.7765,0.484153,0.186228,0.905665,0.000260922,0.20143,0.0185697,0.103748,0.00881725,0.21162,0.115861,0.389785,0.193112,0.207292,0.00281739,0.0158374,0.172975,0.257827,0.0456269,0.0658058,0.186188,0.386198,0.887288,0.160958,0.0754414,0.295089,0.152998,0.166911,0.0467287,0.0844929,0.386298
-63.8671,0.973012,0.208613,4,15,0,82.2839,0.228438,0.152924,0.821112,0.145258,0.192876,0.500144,0.0375814,0.0181772,0.137724,0.0280199,0.266283,0.135954,0.112861,0.233663,0.0656515,0.0558632,0.117955,0.102267,0.0773175,0.0291737,0.377863,0.593471,0.0843877,0.0965594,0.277904,0.148113,0.148998,0.0664604,0.00613927,0.182267
-58.6205,0.98219,0.208613,4,15,0,71.6987,0.309692,0.229208,0.622329,0.00601494,0.15674,0.0127336,0.147585,0.0948619,0.174058,0.261062,0.346813,0.189681,0.171651,0.00101213,0.0802799,0.114392,0.472889,0.0267899,0.0955156,0.145259,0.182794,0.626436,0.213206,0.255176,0.269116,0.170382,0.2316,0.421523,0.225079,0.247098
-59.1851,0.928361,0.208613,4,15,0,67.9784,0.226477,0.095921,0.890315,0.138533,0.222211,0.280282,0.132214,0.024487,0.209214,0.0378297,0.312285,0.101392,0.201626,0.00214176,0.0639522,0.0432896,0.216573,0.276775,0.0255955,0.0452217,0.103363,0.658394,0.234306,0.110331,0.32303,0.108047,0.057269,0.0458807,0.177932,0.180703
-61.1972,0.896027,0.208613,4,15,0,77.2553,0.270724,0.0565014,0.439276,0.000642335,0.125269,0.107631,0.0589762,0.0128008,0.138902,0.219462,0.298531,0.148467,0.143908,0.0521269,0.0765914,0.198893,0.249974,0.0212779,0.00464306,0.0340181,0.251853,0.530762,0.194814,0.194203,0.221982,0.095472,0.225301,0.25238,0.302551,0.216006
-55.2898,0.971396,0.208613,4,15,0,72.242,0.254268,0.118369,0.947171,0.0194344,0.205339,0.19252,0.0599171,0.135546,0.16808,0.0263597,0.349308,0.18723,0.136487,0.104332,0.0736786,0.0425518,0.452404,0.0138227,0.00105283,0.0671341,0.279214,0.773618,0.300887,0.12566,0.317929,0.13051,0.149713,0.157766,0.265272,0.202877
-55.9995,0.943507,0.208613,4,15,0,64.8325,0.29649,0.167272,0.608644,0.0955142,0.150657,0.105935,0.068101,0.010516,0.253791,0.233044,0.327881,0.0641215,0.130533,0.0444878,0.0313345,0.20861,0.260109,0.072549,0.269739,0.126458,0.382265,0.536696,0.0959489,0.243796,0.258034,0.112449,0.0984384,0.443665,0.0497947,0.236565
-56.6958,0.88005,0.208613,4,15,0,72.5494,0.272057,0.119948,0.636814,0.0624918,0.204807,0.121992,0.081356,0.0134437,0.259893,0.406046,0.251813,0.0267213,0.134642,0.115624,0.0449095,0.141049,0.20053,0.0997482,0.125757,0.114393,0.544825,0.555038,0.10682,0.23444,0.207076,0.0601665,0.143385,0.287304,0.0616196,0.21707
-60.9566,0.998707,0.208613,4,31,0,74.3878,0.236715,0.170222,0.662912,0.0469385,0.139803,0.297626,0.0526399,0.0980283,0.0871343,0.00736901,0.317972,0.0149623,0.138846,0.0469744,0.0124202,0.0667559,0.304609,0.125125,0.0263719,0.0181749,0.0862101,0.596981,0.0131225,0.096535,0.244573,0.0939284,0.185574,0.156163,0.471762,0.188871
-71.1717,0.898063,0.208613,4,15,0,81.0555,0.222756,0.0843277,0.546214,0.0761749,0.250713,0.11767,0.0324183,0.00465267,0.0190193,0.0752002,0.317444,0.00134548,0.112017,0.145414,0.0429249,0.141158,0.220932,0.0191596,0.307611,0.0248792,0.0388973,0.433912,0.0120983,0.0279014,0.211578,0.247536,0.170143,0.238192,0.0626311,0.177733
-59.3472,0.993506,0.208613,4,15,0,81.3616,0.304335,0.0664023,0.86143,0.0196892,0.0873453,0.248741,0.21491,0.0300926,0.480931,0.144579,0.305882,0.0209385,0.0759201,0.0391136,0.0559514,0.0322126,0.256774,0.0351444,0.00486628,0.10316,0.543324,0.728495,0.240351,0.0778112,0.347481,0.10098,0.192727,0.045289,0.0546159,0.242824
-55.053,0.981301,0.208613,4,15,0,66.7003,0.251524,0.186385,0.682661,0.0494876,0.27168,0.161047,0.0954886,0.0137346,0.017652,0.113714,0.277998,0.0950337,0.121618,0.0179042,0.0905055,0.0591009,0.19356,0.0179981,0.266005,0.129719,0.245968,0.649504,0.272613,0.0942123,0.188527,0.110161,0.224847,0.47785,0.247676,0.200687
