# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=5
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_5.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.127123
# Diagonal elements of inverse mass matrix:
# 0.00368342, 1.10744, 0.253985, 0.412462, 0.344183, 0.509751, 0.453686, 0.50495, 0.379719, 0.558642, 0.348769, 0.352917, 0.346116, 0.305476, 0.507581, 0.463273, 38.7015
-6.70752,0.971874,0.127123,5,31,0,13.9389,0.0394165,0.157673,0.0638206,1.01107,0.531065,-0.0215699,1.58348,0.639363,0.498457,1.26284,-0.314747,-0.0992874,0.174713,0.0283321,1.39348,1.36834,2.88103,0.0494793,0.198835,0.123151,0.0360155,0.289088,0.140227,0.11801,0.238532,-0.0102105,0.0237616,0.0669639,0.0438837,0.259131,0.255166,0.158266
-5.59482,0.981492,0.127123,5,31,0,11.3484,-0.1081,0.243402,0.433092,0.729313,0.574832,1.56037,-0.0139684,1.1119,0.351521,1.17357,1.07562,0.973362,0.410833,1.09482,1.5809,0.0121923,7.24661,-0.0026844,0.0694163,0.0318153,0.271698,-0.1115,0.162539,-0.022539,0.177548,0.153709,0.128818,-0.00810232,0.158381,0.276695,-0.105132,0.0842837
-0.50517,0.875734,0.127123,4,31,0,11.1721,-0.15923,0.341681,0.635076,0.774265,0.464236,1.33239,0.654519,0.960381,0.267634,0.573632,0.406042,0.858329,0.0703095,0.247823,1.41751,0.591861,3.98936,0.0577635,0.105322,-0.000609192,0.296023,0.0644068,0.168914,-0.0677843,0.0367693,-0.0204929,0.134045,-0.135206,-0.0745532,0.325105,0.0429977,0.105211
-3.36074,0.985481,0.127123,4,15,0,9.30866,-0.211931,0.27335,0.835008,0.881468,0.52652,0.858206,0.171002,0.862482,0.497886,1.66987,0.264175,0.120718,0.902457,0.591682,2.13464,1.43165,9.47013,0.0163184,0.0290183,-0.0680069,0.0226595,-0.165188,0.0238285,-0.075834,0.244528,-0.139719,-0.178933,0.0347556,-0.050195,0.371574,0.179411,0.00496486
-7.27114,0.915385,0.127123,4,15,0,17.1417,-0.168208,0.261738,0.370383,1.4961,0.925865,0.146444,0.902516,0.93239,1.10591,1.62004,0.130553,0.441559,0.0638264,0.557219,2.4603,1.70249,14.9201,-0.0712648,0.223377,0.074126,-0.129878,0.0680146,0.0758338,0.121251,0.255818,-0.134038,-0.0526355,-0.151503,-0.0223629,0.475746,0.277398,0.0401612
-10.3092,0.553658,0.127123,4,15,0,17.6555,-0.108026,0.0848721,1.30935,1.34763,0.551421,0.719133,0.551085,1.69872,0.822434,1.35583,0.696062,0.264256,1.19875,0.288901,2.67681,1.82435,13.2666,0.00310091,0.00635059,-0.0612257,-0.0469917,-0.0612542,0.0361479,-0.0382243,0.00704585,-0.0489498,-0.085598,-0.00628552,-0.0835063,0.119161,0.0468101,-0.0404994
-6.4596,0.986623,0.127123,5,31,0,15.2396,-0.0575732,0.100433,0.0596123,1.20095,1.68442,0.356701,0.580976,1.73037,0.436046,1.51851,0.0955109,0.113329,0.655848,0.200209,1.8772,1.30566,17.9485,-0.0515862,0.0630415,0.111598,-0.0217487,0.000775845,0.116213,-0.0137799,0.0949344,-0.0479808,-0.0461912,0.0082954,-0.0374657,0.130959,0.0735578,0.0224365
-5.38432,0.938973,0.127123,4,31,0,13.1553,0.000168083,0.0702214,0.267836,1.16701,1.79583,0.175153,0.669866,1.65317,0.917801,1.21412,0.201129,0.173322,0.768529,0.146083,1.81165,0.077971,11.0351,0.0189759,0.0821174,0.126274,0.0124676,0.047207,0.116256,0.0646174,0.0854253,0.0142916,0.012339,0.0541353,0.0104262,0.127385,0.00564332,0.0559681
-8.3308,0.972074,0.127123,5,31,0,15.4127,-0.00592148,0.0495185,-0.185456,1.60065,1.54619,0.628217,1.3462,1.29015,1.18304,0.323438,0.411447,0.282211,0.129174,0.733544,0.41642,0.414007,1.2094,-0.015105,0.0733403,0.0706435,0.0251869,0.0607402,0.0579646,0.0526606,0.0100947,0.0144527,0.00805316,0.000475009,0.0304025,0.014699,0.0145795,0.0245277
-11.7528,0.362821,0.127123,4,15,0,19.6406,-0.0721324,0.0871445,1.14446,0.420684,0.507211,0.225094,0.624767,1.60885,2.17765,1.19517,0.459528,0.223793,0.535551,0.560309,0.451078,0.0679498,36.7532,0.0276013,-0.0354721,-0.0279317,-0.0525167,-0.0176874,0.0680697,0.117638,0.0320205,-0.0320871,-0.0526301,-0.025462,-0.0233045,-0.0328234,-0.0662109,-0.00262679
