# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=12
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_12.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.285753
# Diagonal elements of inverse mass matrix:
# 0.158339, 1.3869, 1.23185, 1.0209, 0.817091, 0.59902, 0.0337314, 0.761084, 1.35671
-20.0235,0.99667,0.285753,4,15,0,21.8332,0.110893,0.0214519,0.0934162,0.0428749,0.104642,0.149153,0.23587,0.0558049,0.0140795,0.0884799
-17.1556,0.977675,0.285753,3,15,0,25.5154,0.233866,0.118988,0.0452957,0.113089,0.290054,0.0438275,0.413847,0.0327698,0.205051,0.186598
-21.8221,0.88826,0.285753,4,15,0,27.3783,0.308534,0.0141221,0.0507208,0.0182599,0.353856,0.0167575,0.304045,0.040055,0.172765,0.246175
-16.7789,0.995129,0.285753,3,15,0,24.0895,0.375863,0.0217522,0.255499,0.0386702,0.724323,0.0822655,0.318903,0.0762434,0.247544,0.299895
-16.4605,0.952044,0.285753,3,7,0,21.166,0.181276,0.0210116,0.0639387,0.160653,0.19957,0.0247598,0.348714,0.127157,0.176481,0.144637
-14.8331,0.972991,0.285753,4,15,0,18.2008,0.296076,0.0658513,0.108824,0.116562,0.70108,0.178295,0.404789,0.101756,0.141335,0.236235
-19.509,0.575038,0.285753,4,15,0,22.128,0.109061,0.01746,0.139514,0.113628,0.0194473,0.0599862,0.302567,0.0458745,0.120697,0.0870185
-26.3543,0.917781,0.285753,4,15,0,29.8463,0.150537,0.0109717,0.107972,0.165489,0.019788,0.0145801,0.179174,0.210723,0.11925,0.120112
-21.3052,0.962091,0.285753,3,7,0,29.7684,0.130243,0.0597795,0.0598219,0.0711844,0.015987,0.0278517,0.309957,0.0209768,0.112494,0.103919
-20.6904,0.994238,0.285753,4,23,0,26.1941,0.5193,0.049507,0.116279,0.108539,0.287632,0.0171741,0.438129,0.0356501,0.203889,0.414341
-20.4393,0.998911,0.285753,3,7,0,23.0301,0.515012,0.0427601,0.196703,0.114126,0.272824,0.0147318,0.414085,0.0366429,0.243326,0.41092
